Mode;size;Selection Sort;Bubble Sort;Bubble Sort Iverson 1;Bubble Sort Iverson 2;Insertion Sort;Binary Insertion Sort;Counting Sort;Radix Sort;Merge Sort;QuickSort Hoare partition;QuickSort Lomuto partition;HeapSort;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;600;527;1655;1305;1514;1362;244;46;43;283;84;83;134;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;700;624;1839;2323;2085;1326;282;64;50;214;89;88;144;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;800;874;2604;2616;2772;2032;743;41;53;244;104;102;301;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;900;1598;2920;3037;3384;2058;410;37;72;311;133;144;226;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;1000;1374;4084;4323;3734;2691;575;43;82;293;124;129;309;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;1100;1578;4560;5559;4359;3381;673;42;101;316;131;136;299;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;1200;1801;5881;6542;6357;4319;834;51;85;403;174;188;296;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;1300;2362;7922;6444;6941;3948;1008;57;92;483;173;293;498;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;1400;2582;7488;8810;7976;6080;1106;49;88;531;191;193;318;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;1500;3352;8666;9739;9489;5075;915;42;228;356;159;168;266;;;;;;;;;;;;;;;;;;;;;;;;;;d
From 1 to 4100;1600;3487;11947;9990;10810;6503;1532;57;106;516;232;264;409;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;1700;3810;12409;14438;12706;8029;1687;58;108;557;218;252;372;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;1800;5248;17007;14077;13893;9262;1857;60;106;550;245;276;423;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;1900;5053;15996;15277;16024;10786;1811;58;159;629;260;275;541;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;2000;6037;15640;16034;16138;11416;2245;66;113;659;267;381;541;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;2100;5870;20692;20327;17773;12661;2151;64;218;699;326;325;581;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;2200;6791;20029;19655;18410;13307;2277;60;113;655;262;359;566;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;2300;6697;24899;27074;27143;13963;2813;133;164;836;330;529;604;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;2400;7854;25576;28091;25166;16619;2427;48;112;1563;433;378;442;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;2500;7659;25857;27762;28616;17230;2889;73;120;630;278;481;758;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;2600;9191;29304;30004;28564;17078;3595;64;146;785;307;334;539;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;2700;10439;35168;37076;31909;19642;3701;66;149;979;378;472;636;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;2800;10668;36037;36245;33621;21696;4908;76;170;899;358;390;1616;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;2900;11646;39245;37339;34032;23004;3676;73;175;917;375;419;852;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;3000;11276;40619;42529;40491;25989;5044;76;271;1126;380;407;709;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;3100;13182;42311;40914;41367;26723;4857;75;177;1116;430;385;633;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;3200;13616;46280;44902;44802;30972;4772;68;176;986;368;551;898;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;3300;17308;50376;49203;49326;27990;5227;66;184;972;560;657;924;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;3400;14053;53411;50345;53440;31535;5240;118;206;1015;453;1307;898;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;3500;17151;61650;57202;61071;33721;6043;69;181;883;403;649;1043;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;3600;16913;62002;59955;59740;36097;9176;71;239;1484;516;581;1079;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;3700;18434;65889;62286;63489;34929;6503;71;172;950;501;561;1186;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;3800;20389;66511;66053;66284;43137;7696;77;247;1379;609;686;1035;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;3900;19858;71283;70617;69848;41958;6927;71;194;1234;688;773;959;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;4000;20117;71122;81613;75283;43890;7572;87;241;1433;541;858;1110;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;100;53;72;101;85;55;19;78;16;79;35;35;21;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;200;80;242;161;236;108;72;34;52;59;62;57;56;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;300;150;403;569;405;272;79;41;25;101;42;34;110;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;400;219;625;611;617;430;99;28;25;100;59;44;84;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;500;354;1067;813;1891;957;139;29;46;128;98;97;88;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;600;426;1491;1490;1424;1045;213;44;37;163;64;70;104;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;700;560;1752;1737;1598;1451;341;37;53;248;151;132;174;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;800;924;2625;2520;2180;1413;306;94;58;247;108;113;180;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;900;1059;3068;3244;4236;2049;496;42;56;268;115;113;176;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;1000;1251;4015;3650;3726;3142;674;52;56;276;136;141;221;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;1100;1628;5281;4584;4502;2810;786;102;74;415;175;164;291;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;1200;2014;6532;5060;5346;3794;890;55;80;432;187;175;276;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;1300;3258;9199;7973;6481;5201;1450;43;107;474;158;221;302;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;1400;2584;10576;9735;7982;6674;903;41;76;390;168;177;412;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;1500;2504;8631;9382;8153;6932;1304;48;84;446;265;219;303;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;1600;3975;10466;10071;12081;6641;1394;48;85;517;172;180;305;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;1700;4089;13009;10976;12559;7504;1465;43;87;578;193;195;488;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;1800;4537;15151;12454;13902;8787;1392;47;81;756;229;247;459;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;1900;5495;15377;17122;15036;11374;1949;58;98;550;247;273;439;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;2000;5020;16723;15480;16106;9799;1852;55;108;512;248;388;513;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;2100;6259;20199;18647;22772;10853;2872;58;115;673;282;302;518;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;2200;7477;22586;21420;19909;14239;2073;51;127;863;377;388;566;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;2300;7148;21904;22970;21545;14670;3170;115;136;703;314;330;565;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;2400;7218;23893;23411;25795;15102;2671;62;141;838;377;355;905;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;2500;8150;24323;27408;29107;17895;2936;69;222;1086;569;469;656;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;2600;10620;29798;30283;29648;21976;3284;69;152;998;415;437;817;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;2700;10603;31964;31070;32222;20343;3601;61;149;890;394;380;650;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;2800;9977;32927;35188;33553;18793;4896;67;129;838;839;540;1019;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;2900;10778;42258;39424;34955;23454;4192;73;157;924;677;931;763;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;3000;10065;38782;37064;42056;22237;4312;88;142;989;387;535;761;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;3100;13356;42312;44057;43898;25170;5552;100;380;1560;507;678;835;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;3200;14844;45341;43577;44472;31054;4523;79;181;1007;429;504;844;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;3300;14139;50965;46153;49248;27208;4968;63;147;971;419;440;672;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;3400;15743;55779;53460;53675;30035;5426;73;159;998;576;481;957;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;3500;16329;54811;55153;53228;31152;8788;149;279;1607;648;672;956;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;3600;16120;59950;63280;61516;34770;6481;77;191;1178;560;595;1094;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;3700;19103;62535;60766;61562;35879;5485;63;231;1371;525;646;1710;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;3800;17889;70915;64590;64989;38372;7842;75;297;1028;462;798;1048;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;3900;20156;68608;67961;71504;48318;8011;79;200;1729;532;580;1078;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;4000;21037;74339;75407;73351;46128;7504;73;186;1333;577;640;1458;;;;;;;;;;;;;;;;;;;;;;;;;;
