Mode;size;Selection Sort;Bubble Sort;Bubble Sort Iverson 1;Bubble Sort Iverson 2;Insertion Sort;Binary Insertion Sort;Counting Sort;Radix Sort;Merge Sort;QuickSort Hoare partition;QuickSort Lomuto partition;HeapSort;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;700;494;1703;1761;1697;1213;302;41;61;262;81;76;138;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;800;801;2617;2232;2376;1670;333;40;62;257;89;89;163;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;900;881;3025;2758;2972;2109;493;39;59;352;92;100;165;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;1000;1081;4449;3318;3362;2549;493;42;75;239;101;104;173;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;1100;1242;4215;4703;4650;2381;801;52;89;377;116;113;184;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;1200;1499;5015;5554;5130;3886;849;37;482;477;157;155;223;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;1300;1764;5999;7123;6479;4188;1046;60;124;488;177;165;274;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;1400;2187;7214;6255;7113;5016;1160;47;107;536;169;173;365;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;1500;2542;9322;8992;8998;5718;1301;44;120;507;177;199;306;;;;;;;;;;;;;;;;;;;;;;;;;;d
From 1 to 4100;1600;2877;9529;110103;10961;6315;1786;53;146;786;177;188;382;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;1700;3702;11956;11049;10853;7735;1658;50;122;702;215;246;381;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;1800;3632;13629;12707;14077;9255;1864;63;177;631;245;282;430;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;1900;4304;16907;15485;13729;11109;1933;58;136;474;241;229;402;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;2000;4549;16544;15074;15563;11627;1539;48;98;654;266;285;453;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;2100;5221;17961;16750;16028;11322;2407;58;149;681;266;308;511;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;2200;4776;19886;18236;16103;12181;2060;49;169;762;394;279;497;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;2300;5698;20769;20828;19335;13836;2783;57;169;793;274;274;493;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;2400;6013;21798;21071;21091;14794;3205;50;166;763;281;293;469;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;2500;6487;46095;26169;25635;15140;3631;62;171;715;284;335;600;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;2600;7449;27380;24546;26387;18494;3202;69;190;1132;323;366;621;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;2700;7615;28623;30864;26628;16345;2907;62;202;1155;344;363;522;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;2800;8898;33449;32265;30542;20911;3194;55;224;985;332;368;600;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;2900;9265;32031;30498;31913;20496;3046;56;239;789;589;390;621;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;3000;9213;32627;35740;37021;22308;3882;80;215;788;350;487;735;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;3100;10261;39712;36902;32616;19466;3928;65;146;751;343;377;598;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;3200;10844;37726;38205;37272;20180;4270;68;212;1024;378;416;693;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;3300;10942;39499;37881;40917;30491;5716;68;219;930;377;447;892;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;3400;11739;48916;52155;46604;29022;4786;93;383;864;448;417;865;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;3500;12588;47973;47021;46915;28957;4627;60;231;1337;449;460;682;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;3600;12826;46709;48058;48377;28831;4735;74;162;880;470;715;819;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;3700;13968;51587;49871;51112;32770;6988;92;164;1151;412;519;850;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;3800;15654;58839;52946;53343;33865;6039;73;264;986;417;490;778;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;3900;15427;56961;54737;55513;35216;5780;77;178;964;508;606;759;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;4000;17090;56792;55118;57505;32927;5765;63;193;1304;530;585;987;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;100;18;88;48;47;30;15;98;15;35;9;8;14;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;200;50;141;138;155;98;33;30;20;60;19;19;29;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;300;120;338;347;319;239;68;35;26;95;31;29;47;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;400;181;621;520;564;328;86;25;23;89;45;47;58;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;500;301;830;871;847;589;157;24;41;150;52;65;88;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;600;392;1391;1183;1280;924;181;24;34;141;57;67;103;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;700;496;1689;1495;1444;1088;301;36;39;166;71;69;113;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;800;640;1865;2308;1804;1228;270;34;42;180;79;83;134;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;900;807;2687;3271;2844;1901;494;28;47;219;88;96;179;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;1000;1021;3376;4019;3089;2006;616;62;75;288;107;104;189;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;1100;1258;4057;3842;4043;2881;561;32;48;290;111;149;211;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;1200;1480;4798;4798;4200;2890;660;36;52;303;142;145;208;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;1300;1881;5118;5648;6249;4353;953;47;70;341;134;139;224;;;;;;;;;;;;;;;;;;;;;;;;;;
